훈련년도,훈련차수,훈련과정명,훈련과정명(영문),훈련시작일자,훈련종료일자,훈련가능인원수,훈련시간,훈련기관명,전화번호,주소,훈련내용
2022,8,2022년 귀국예정자 취·장업 직업훈련 자동차정비(B),2022  CAR MAINTENANCE(B),2022-09-25,2022-12-11,30,60,한국자동차정비학원,02-707-0070,서울특별시 용산구 한강대로 375번지,엔진오일 교환윤활장치 정비연료장치 정비엔진본체 정비전기장치 이해등화장치 정비시동장치 정비충전장치 정비제동장치 정비
2022,9,2022년 귀국예정자 취·장업 직업훈련 제과제빵(A),2022  BAKING TRAINING(A),2022-10-02,2022-12-04,30,60,한국제과직업전문학교,02-846-5096,서울특별시 영등포구 여의대방로 61길 42,제과제빵기초이론단팥빵파운드케익소세지빵젤리롤케이크코카데산존아몬드타르트
2022,10,2022년 귀국예정자 취·장업 직업훈련 제과제빵(B),2022  BAKING TRAINING(B),2022-10-02,2022-12-04,30,60,한국제과직업전문학교,02-846-5096,서울특별시 영등포구 여의대방로 61길 42,제과제빵기초이론단팥빵파운드케익소세지빵젤리롤케이크코카데산존아몬드타르트
2022,11,2022년 재직 외국인근로자 직업훈련 전기·전자(B),2022 E-9 TRAINING FOR ELECTRICITY AND ELECTRONIC(B),2022-10-30,2022-12-04,30,48,서울공과 전기학원,02-2676-1114,서울특별시 영등포구 당산로 67(당산2가),기본회로 결선3로스위치설치제어회로 기초자기유지회로전기설비자동제어
2022,1,전기기능(1회차),Electricity,2022-06-12,2022-07-17,35,48,안양전기공과학원,031-442-4245,경기도 군포시,
2022,2,전기전자(전기기능) 2회차,Electricity and Electronic,2022-08-07,2022-09-11,30,48,안양전기공과학원,031-442-4245,경기도 군포시,
2022,3,용접기초향상(특수용접),Welding,2022-08-21,2022-10-02,25,48,화성직업전문학교,031-234-5588,경기도 화성시 떡전골로 122,
2022,4,전기전자(전기기능) 3회차,Electricity and Electronic,2022-10-09,2022-11-13,30,48,안양전기공과학원,031-442-4245,경기도 군포시,
2022,5,용접기초향상(특수용접)2회차,Welding,2022-10-16,2022-11-20,25,48,화성직업전문학교,031-234-5588,경기도 화성시 떡전골로 122,
2022,1,전기전자,Electricity and Electronic,2022-07-17,2022-08-21,20,48,대양전기직업전문학교,02-907-7114,서울시 도봉구 노해로 63길 51 상아프라자 3층,
2022,3,전기전자,Electricity and Electronic,2022-09-04,2022-10-16,20,48,대양전기직업전문학교,02-907-7114,서울시 도봉구 노해로 63길 51 상아프라자 3층,
2022,4,전기전자,Electricity and Electronic,2022-09-04,2022-10-16,20,48,대양전기직업전문학교,02-907-7114,서울시 도봉구 노해로 63길 51 상아프라자 3층,
2022,5,전기전자,Electricity and Electronic,2022-09-18,2022-10-23,20,48,대산전기직업전문학교,02-908-7114,경기도 고양시 일산동구 중앙로1261번길 19 호수광장빌딩 3층,
2022,6,중장비운전(지게차),Forklift Operation,2022-09-25,2022-11-13,25,48,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24,
2022,7,한국어자격취득과정_1차,THE LANGUAGE COURSE FOR QUALIFICATION TOPIK-3,2022-10-02,2022-12-18,27,60,한국산업인력공단 경기북부지사,031-850-9175,경기 포천시 신북면 틀못이길 11-88,
2022,8,한국어자격취득과정_2차,THE LANGUAGE COURSE FOR QUALIFICATION TOPIK-3,2022-10-02,2022-12-18,27,60,한국산업인력공단 경기북부지사,031-850-9175,경기 포천시 신북면 틀못이길 11-88,
2022,11,한식조리,KOREAN COOKING,2022-10-02,2022-12-04,30,60,경기미래직업전문학교,031-857-0777,경기 의정부시 신흥로 258번길 35,
2022,12,제과제빵,Baking,2022-10-02,2022-12-04,23,60,경기미래직업전문학교,031-857-0777,경기 의정부시 신흥로 258번길 35,
2022,13,제과제빵,Baking,2022-10-02,2022-12-04,24,60,경기미래직업전문학교,031-857-0777,경기 의정부시 신흥로 258번길 35,
2022,14,중장비운전(지게차),Forklift Operation,2022-10-16,2022-12-18,23,60,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24,
2022,15,전기전자,Electricity and Electronic,2022-11-06,2022-12-11,23,48,대산전기직업전문학교,031-908-7114,경기도 고양시 일산동구 중앙로1261번길 19 호수광장빌딩 3층,
2022,16,전기전자,Electricity and Electronic,2022-11-06,2022-12-11,20,48,대양전기직업전문학교,02-907-7114,서울 도봉구 노해로65길 7-12 청백빌딩 3층,
2022,17,전기전자,Electricity and Electronic,2022-11-06,2022-12-11,20,48,대양전기직업전문학교,02-907-7114,서울 도봉구 노해로65길 7-12 청백빌딩 3층,
2022,1,자동차정비1차,CAR MAINTENANCE,2022-05-29,2022-07-03,22,48,쌍용직업전문학교,032-446-8607,인천광역시 미추홀구 석바위로53번길 8,자동차정비
2022,2,자동차정비2차,CAR MAINTENANCE,2022-05-29,2022-07-03,26,48,쌍용직업전문학교,032-446-8607,인천광역시 미추홀구 석바위로53번길 8,자동차정비
2022,3,기계절삭가공,MACHINERY CUTTING AND MANUFACTURING,2022-06-12,2022-07-17,24,48,진성직업전문학교,032-817-1355,인천광역시 남동구 문화로 133번길 14,기계절삭가공
2022,4,지게차운전,FORKLIFT OPERATION,2022-06-19,2022-07-24,24,48,한국항만연수원 인천연수원,032-885-8011,인천광역시 중구 서해대로 393,지게차운전
2022,5,지게차운전,FORKLIFT OPERATION,2022-06-19,2022-07-24,23,48,김포중장비자동차정비학원,031-984-9923,경기도 김포시 한강4로 247, 지게차운전
2022,6,한국어훈련,The Language Course of Korean,2022-08-03,2022-12-02,5,48,한국산업인력공단 인천지역본부,032-820-8600,인천광역시 남동구 남동서로 209,한국어교육
2022,7,한국어자격취득과정,THE LANGUAGE COURSE FOR QUALIFICATION TOPIK-3,2022-09-18,2022-12-04,25,60,한국산업인력공단 인천지역본부,032-820-8600,인천광역시 남동구 남동서로 209,한국어자격취득과정(토픽3급)
2022,8,한국어자격취득과정,THE LANGUAGE COURSE FOR QUALIFICATION TOPIK-3,2022-09-18,2022-12-04,25,60,한국산업인력공단 인천지역본부,032-820-8600,인천광역시 남동구 남동서로 209,한국어자격취득과정(토픽3급)
2022,9,헤어미용사양성과정,HAIR BEAUTY,2022-10-02,2022-12-04,25,60,인하직업전문학교,032-888-1655,인천광역시 미추홀구 석정로 228,헤어미용
2022,10,자동차정비,CAR MAINTENANCE,2022-10-02,2022-11-20,25,60,쌍용직업전문학교,032-446-8607,인천광역시 미추홀구 석바위로53번길 8,자동차정비
2022,11,자동차정비,CAR MAINTENANCE,2022-10-09,2022-11-27,25,60,쌍용직업전문학교,032-446-8607,인천광역시 미추홀구 석바위로53번길 8,자동차정비
2022,12,한식조리,KOREAN COOKING,2022-10-09,2022-11-27,25,60,국제평생교육원,032-428-5400,인천광역시 미추홀구 주안로 108,한식조리
2022,13,굴삭기운전,EXCAVATOR OPERATION,2022-10-23,2022-11-27,24,48,한국항만연수원 인천연수원,032-885-8011,인천광역시 중구 서해대로 393,굴삭기운전
2022,1,중장비운전(지게차)-1회차,CAR MAINTENANCE,2022-05-29,2022-07-17,25,48,그린직업전문학교(주),031-797-5004,경기도 광주시 염소골길 28-11,
2022,2,자동차정비-1회차,CAR MAINTENANCE,2022-06-12,2022-07-31,25,48,그린직업전문학교(주),031-797-5004,경기도 광주시 염소골길 28-11,
2022,3,중장비운전(지게차) - 2회차 ,CAR MAINTENANCE,2022-07-31,2022-09-25,25,48,그린직업전문학교,031-797-5004,경기도 광주시 염소골길 28-11,중장비운전_지게차-2회차
2022,4,자동차정비-2회차,CAR MAINTENANCE,2022-08-14,2022-10-16,25,48,그린직업전문학교,031-797-5004,경기도 광주시 염소골길 28-11,
2022,5,중장비운전(지게차) - 3회차,CAR MAINTENANCE,2022-10-30,2022-12-18,25,48,그린직업전문학교,031-797-5004,경기도 광주시 염소골길 28-11,중장비운전(지게차) - 3회차
2022,6,자동차정비-3회차,CAR MAINTENANCE,2022-10-30,2022-12-18,25,48,그린직업전문학교,031-797-5004,경기도 광주시 염소골길 28-11,자동차정비-3회차
2022,1,재직외국인근로자 직업능력개발훈련 전기분야,Electricity,2022-07-10,2022-08-28,28,48,울산대산전기학원,052-261-0227,울산광역시 남구 갈발로 10번길 8,
2022,3,재직외국인근로자 직업능력개발훈련 기계분야(전기용접),Welding,2022-07-17,2022-09-25,25,48,아성직업전문학교,055-321-4567,경남 김해시 함박로 121 주상가 3층,전기용접
2022,4,재직외국인근로자 직업능력개발훈련 자동차 분야,Car Maintenance,2022-07-17,2022-09-04,26,48,그린자동차직업전문학교,051-330-7007,부산시 사상구 사상로 417번길 51,자동차 훈련
2022,5,용접(특수용접),Welding,2022-08-21,2022-10-16,25,48,한상직업전문학교,051-312-9200,"부산시 사상구 사상로 242, 2층",
2022,6,한국어자격취득과정,The Language Course of Korean,2022-09-04,2022-12-18,30,60,김해외국인노동자지원센터,055-338-2727,경남 김해시 가락로 81 아이조이 빌딩 6층,
2022,7,한국어자격취득과정,The Language Course of Korean,2022-09-04,2022-12-18,30,60,양산외국인노동자지원센터,055-912-0255,"경남 양산시 연호로 28, 2층",
2022,8,CO2용접,Welding,2022-09-04,2022-10-30,30,48,영진직업전문학교,055-338-9060,경남 김해시 김해대로 2400번길 88,
2022,9,특수용접,Welding,2022-09-04,2022-10-30,30,48,영진직업전문학교,055-338-9060,경남 김해시 김해대로 2400번길 88,
2022,10,카페베이커리,Baking,2022-09-18,2022-11-27,25,60,서창요리제과제빵 직업학교,055-362-3454,"경남 양산시 삼호로 191, 웅상빌딩 6층",
2022,11,자동차정비,CAR MAINTENANCE,2022-09-25,2022-11-27,30,60,그린자동차직업전문학교,051-303-7007,부산시 사상구 사상로 417번길 51,
2022,12,제과제빵양성과정,Baking,2022-10-02,2022-12-04,30,60,부산제과기술학원,051-803-3554,"부산시 부산진구 중앙대로 682 (4층, 5층)",
2022,13,특수용접,Welding,2022-10-16,2022-12-18,30,60,영진직업전문학교,055-338-9060,경상남도 김해시 김해대로 2400번길 88,
2022,14,전기용접,Welding,2022-10-23,2022-12-18,30,60,아성직업전문학교,055-321-4567,경상남도 김해시 전하로 304번길 19 (외동) 중앙상가 301호,
2022,1,"건설기계운전(지게차, 굴삭기)","Construction machine operation (forklift, excavator)",2022-05-22,2022-07-17,30,48,외동기술전문학원,054-743-6900,경북 경주시 외동읍 관문로 1095-6,중장비운전(지게차 및 굴삭기) 훈련
2022,2,"건설기계운전(지게차, 굴삭기)","Construction machine operation (forklift, excavator)",2022-07-24,2022-09-18,30,48,외동기술전문학원,054-743-6900,경북 경주시 외동읍 관문로 1095-6,중장비운전(지게차 및 굴삭기) 훈련
2022,3,2022년 한국어 자격취득과정(1차),The Language Course of Korean,2022-07-31,2022-12-18,30,60,대구외국인노동자지원센터,053-654-9700,대구광역시 달성군 다사읍 달구벌대로 863 진광타워 8층,TOPIK Ⅱ 중급 수준의 어휘와 문형 학습 및 문제 유형 분석·이해
2022,4,2022년 취창업 직업훈련과정(지게차운전),Forklift Operation,2022-10-02,2022-11-27,30,60,한결직업전문학교,053-263-3311,대구광역시 달성군 하빈면 하빈남로 504-3,
2022,5,2022년 취창업 직업훈련과정(굴삭기운전),EXCAVATOR OPERATION,2022-10-23,2022-12-11,30,60,한결직업전문학교,053-263-3311,대구광역시 달성군 하빈면 하빈남로 504-3,
2022,6,2022년 취창업 직업훈련과정(제과제빵),Baking,2022-10-23,2022-12-18,30,60,대구제과제빵커피학원,053-426-2858,대구광역시 중구 달구벌대로 2109-18 3층,
2022,7,NCS기반 재직자 한국어 훈련,The Language Course of Korean,2022-08-24,2022-11-13,5,48,(주)창원산업,053-617-1213,대구광역시 북구 노원로1길 124,
2022,1,굴삭기운전,EXCAVATOR OPERATION,2022-07-03,2022-08-28,25,48,창원중장비학원,055-292-0505,창원시 마산회원구 3.15대로 740,
2022,2,지게차운전,Forklift Operation,2022-07-17,2022-09-04,30,48,(주)경남제일중장비,055-298-9000,경남 함안군 여항면 진함로 1098-1 (외암리),
2022,3,한국어 자격취득 과정,The Language Course of Korean,2022-09-11,2022-12-25,30,60,창원외국인노동자지원센터,055-253-5273,창원 마산합포구 3.15대로 203,
2022,4,NCS기반 재직자 한국어 훈련,The Language Course of Korean,2022-09-13,2022-12-06,15,48,한국산업인력공단,055-212-7222,창원 중앙동 105-1,
2022,5,지게차운전,Forklift Operation,2022-09-18,2022-11-06,30,48,(주)경남제일중장비,055-298-9000,경남 함안군 여항면 진함로 1098-1 (외암리),
2022,6,바리스타,BARISTA,2022-09-18,2022-11-20,25,60,올리브요리제과커피학원,055-275-1000,창원 의창구 원이대로 579번길 명동상가 3층,
2022,7,지게차운전,Forklift Operation,2022-09-25,2022-11-20,25,48,창원중장비학원,055-292-0505,경남 창원시 마산회원구 3.15대로 740,
2022,8,자동차정비,CAR MAINTENANCE,2022-10-09,2022-12-11,25,60,경남자동차정비학원,055-299-7328,경남자동차정비학원,
2022,9,지게차운전(경남제일중장비학원),Forklift Operation,2022-10-30,2022-12-18,25,48,경남제일중장비학원,055-298-9000,경상남도 함안군 여항면 진함로 1098-1,
2022,1,제과제빵,Confectionery and baking,2022-08-28,2022-10-30,25,60,호남직업전문학교,062-605-8021,61401 광주광역시 동구 무등로 339,제과제빵수업
2022,2,용접(전기),Welding,2022-09-04,2022-10-16,28,48,호남직업전문학교,062-605-8021,61401 광주광역시 동구 무등로 339,
2022,3,한국어자격취득과정,EPS TOPIC,2022-09-18,2022-12-11,30,60,광주외국인노동자지원센터,062-946-1199,광주광역시 광산구 풍영로 145번길 82,한국어자격취득과정
2022,4,자동차정비,Car Maintenance,2022-09-18,2022-10-23,27,48,호남직업전문학교,062-605-8021,광주광역시 북구 첨단벤처로 102 ,
2022,5,굴삭기운전,Excavator Operation,2022-09-25,2022-11-06,30,48,광주중장비학원,062-382-3330,광주광역시 광산구 손재로 45-16,
2022,7,NCS 기반 재직자 한국어 훈련,The Language Course of Korean,2022-10-22,2022-12-14,7,48,"(주)지용, (주)지용금속",062-955-9195,광주광역시 광산구 하남산단천변우로 126-6,NCS 기반 표준 교재를 활용한 찾아가는 한국어 훈련
2022,8,용접(특수),Welding,2022-10-23,2022-12-04,28,48,호남직업전문학교,062-605-8021,광주광역시 동구 무등로 339,
2022,9,지게차,Forklift Operation,2022-10-30,2022-12-18,25,60,호남직업전문학교,062-605-8021,광주광역시 동구 무등로 339,
2022,10,제과제빵2,Confectionery and baking,2022-11-06,2022-12-25,25,60,호남직업전문학교,062-605-8021,광주광역시 동구 무등로 339,
2022,11,한식조리,Korean Cuisine,2022-11-06,2022-12-25,25,60,호남직업전문학교,062-605-8021,광주광역시 동무 무등로 339,
2022,12,용접(전기)2,Welding,2022-11-13,2022-12-18,30,48,호남직업전문학교,062-605-8021,광주광역시 동구 무등로 339,
2022,1,전기설비사 양성과정 A,Electric Engineering and Construction,2022-06-12,2022-07-31,25,48,동천안희망직업전문학교,041-557-0064,천안시 동남구 대흥로 145,"전기 배관, 배선, 조명, 전열 공사"
2022,2,전기설비사 양성과정 B,Electric Engineering and Construction,2022-06-12,2022-07-31,25,48,동천안희망직업전문학교,041-557-0064,천안시 동남구 대흥로 145,"전기 배관, 배선, 조명, 전열 공사"
2022,3,한국어자격취득과정,The Language Course of Korean,2022-08-28,2022-11-06,30,60,천안외국인노동자지원센터(이주미),041-411-7004, 충청남도 천안시 서북구 성정공원5로 21 (성정동 1300) 스카이빌딩 4층,
2022,4,한국어자격취득과정,The Language Course of Korean,2022-08-28,2022-11-06,30,60,동천안희망직업전문학교(이영희),041-557-0064,충청남도 천안시 서북구 성정공원5로 21 (성정동 1300) 스카이빌딩 4층,
2022,5,제과제빵,Baking,2022-09-04,2022-11-13,30,60,몽상가인직업전문학교,062-605-8021,충남 천안시 서북구 불당대로 260,
2022,6,커피관리,Coffee Barista Training,2022-09-04,2022-11-13,30,60,몽상가인직업전문학교,062-605-8021,충청남도 천안시 서북구 불당대로,
2022,7,전기설비사 양성과정 A,Electricity,2022-09-18,2022-11-20,30,60,동천안희망직업전문학교,041-557-0064,충청남도 천안시 동남구 대흥로 145,전기
2022,8,전기설비사 양성과정 B,Electricity,2022-09-18,2022-11-20,30,60,동천안희망직업전문학교,041-557-0064,충청남도 천안시 동남구 대흥로 145,
2022,10,전기 TIG용접,Electric TIG Welding,2022-11-13,2022-12-18,30,48,충남산업기술교육원,041-554-0997,충남 천안시 동남구 삼룡4길 36-13,
2023,1,2023년도 상반기 한국어자격취득과정 교육 훈련,The Language Course of Korean,2023-03-05,2023-05-07,35,60,한국외국인노동자지원센터,1644-0644,"서울특별시 구로구 남부순환로 1291 B동, 1층 한국외국인노동자지원센터 교육문화팀"," 3년 이상 재고용 또는 재입국특례(성실)·특별 재입국 외국인근로자(E-9), 30%(9명) 이내 입국 후 2년 이상 3년 미만 체류 외국인근로자(귀국예정자)를 대상으로 직무능력 및 생산성 향상, 직장생활적응 등 한국어 교육훈련(TOPIK 3급 자격)을 실시하여 재정착지원"
2023,2,제과제빵,Baking,2023-06-04,2023-08-06,35,60,한국제과직업전문학교,02-846-5096,서울시 영등포구 여의대방로 61길 42,
2023,3,자동차정비A반,Car Maintenance,2023-06-18,2023-08-20,30,60,한국자동차정비학원,02-714-7141,서울시 용산구 한강대로 375,
2023,4,자동차정비B반,Car Maintenance,2023-06-18,2023-08-20,30,60,한국자동차정비학원,02-714-7141,서울시 용산구 한강대로 375,
2023,5,자동차정비,Car Maintenance,2023-06-18,2023-08-06,35,48,한독자동차정비학원,02-926-8146,서울시 동대문구 왕산로 31,자동차 정비(엔진 새시)
2023,6,2023년도 하반기 한국어자격취득과정 교육 훈련,The Language Course of Korean,2023-07-30,2023-10-08,30,60,한국외국인노동자지원센터,1644-0644,"서울특별시 구로구 남부순환로 1291 B동, 1층 한국외국인노동자지원센터 교육문화팀","3년 이상 재고용 또는 재입국특례(성실)·특별 재입국 외국인근로자(E-9), 30%(9명) 이내 입국 후 2년 이상 3년 미만 체류 외국인근로자(귀국예정자)를 대상으로 직무능력 및 생산성 향상, 직장생활적응 등 한국어 교육훈련(TOPIK 3급 자격)을 실시하여 재정착지원"
2023,7,자동차정비B반(몽골),Car Maintenance,2023-08-20,2023-10-15,35,48,한독자동차정비학원,02-926-8146,서울시 동대문구 왕산로 31,
2023,8,자동차정비A반(필리핀),Car Maintenance,2023-08-20,2023-10-15,35,48,한독자동차정비학원,02-926-8146,서울시 동대문구 왕산로 31,
2023,9,전기전자,Electricity and Electronic,2023-08-27,2023-10-22,35,48,서울공과전기학원,02-2676-1114,서울시 영등포구 당산로 67,
2023,10,전기전자,Electricity and Electronic,2023-10-29,2023-12-17,35,48,서울공과전기학원,02-2676-1114,서울시 영등포구 당산로 67,전기 전자
2023,1,용접(TIG)기초 향상,Welding,2023-05-21,2023-07-09,30,48,㈜화성직업전문학교,031-234-5588,경기도 화성시 떡전골로 122(진안동),
2023,2,전기공사,Electricity,2023-05-28,2023-07-16,30,60,안양전기공과학원,031-442-4245,"경기도 군포시 산본천로 217 한밫빌딩 2, 3, 4층",취창업 전기공사
2023,3,전기전자,Electricity and Electronic,2023-06-11,2023-07-16,30,48,안양전기공과학원,031-442-4245,"경기도 군포시 산본천로 217 한빛빌딩 2, 3, 4층",
2023,4,용접(TIG)기초 향상,GAS TUNGSTEN ARC WELDING,2023-05-21,2023-07-09,30,48,㈜화성직업전문학교,031-234-5588,경기도 화성시 떡전골로 122(진안동),용접(TIG)기초 향상
2023,5,제과제빵 취·창업 과정,Korea baking license course,2023-07-09,2023-09-10,30,60,한선생직업전문학교,031-255-8586,경기도 수원시 팔달구 정조로 867,제과제빵 취·창업 과정
2023,6,취·창업직업훈련과정 전기공사,Electricity,2023-07-23,2023-09-10,30,60,안양전기공과학원,031-442-4245,"경기도 군포시 산본천로 217 한빛빌딩 2, 3, 4층",취창업-전기공사
2023,7,재직외국인근로자 직업능력개발훈련(안양전기공과학원  2회차 전기전자),Electricity and Electronic,2023-08-06,2023-09-10,30,48,안양전기공과학원,031-442-4245,"경기도 군포시 산본천로 217 한밫빌딩 2, 3, 4층",
2023,8,전기전자 3회차,Electric. Electronics,2023-10-15,2023-11-19,30,48,안양전기공과학원,031-442-4245,"경기도 군포시 산본천로 217 한밫빌딩 2, 3, 4층",
2023,9, 전기전자 4회차,Electric. Electronics,2023-10-15,2023-11-19,30,48,안양전기공과학원,031-442-4245,"경기도 군포시 산본천로 217 한밫빌딩 2, 3, 4층",
2023,11,한국어자격취득과정A,The Language Course For Qualification TOPIK Lv.3,2023-06-18,2023-11-12,30,60,의정부외국인노동자지원센터,031-838-9111,경기 의정부시 경의로 94,A반(12~15시)이윤현 강사님
2023,12,한국어자격취득과정B,The Language Course For Qualification TOPIK Lv.3,2023-06-18,2023-11-12,30,60,의정부외국인노동자지원센터,031-839-9111,경기 의정부시 경의로 94,한국어 B반(15~18시)이경윤 강사님
2023,15,제과제빵A,Baking,2023-06-18,2023-08-20,35,60,경기미래직업전문학교,031-857-0777,"경기도 의정부시 신흥로 258번길 35, 3, 4층, B2층",제과제빵 A반
2023,16,제과제빵B,Baking,2023-06-18,2023-08-20,35,60,경기미래직업전문학교,031-857-0777,"경기도 의정부시 신흥로 258번길 35, 3, 4층, B2층",제과제빵B
2023,17,전기전자A (대산전기),Electricity and Electronic A,2023-06-25,2023-07-30,35,48,대산전기직업전문학교,031-908-7114,"경기도 고양시 일산동구 중앙로 1261번길 19, 호수광장빌딩 303호",재직 외국인근로자 직업능력개발훈련 전기전자 A반
2023,18,지게차A,Forklift Opeartion,2023-06-25,2023-08-13,30,48,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24 ,지게차 과정
2023,19,굴착기,Excavator Operation,2023-06-25,2023-08-13,30,48,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24,굴착기
2023,20,전기전자(대양전기),Electricity and Electronic,2023-06-25,2023-08-13,30,48,대양전기직업전문학교,02-907-7114,"서울시 도봉구 노해로63길 51, 상아프라자 3층",대양전기
2023,21,전기전자,Electricity and Electronic,2023-08-20,2023-09-24,24,48,대산전기직업전문학교,031-908-7114,"경기도 고양시 일산동구 중앙로 1261번길 19, 호수광장빌딩 303호",재직 외국인근로자 직업능력개발훈련 전기전자 과정
2023,22,지게차,Forklift Opeartion,2023-08-20,2023-10-15,25,48,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24,재직 외국인근로자 직업능력개발훈련 지게차 과정
2023,23,지게차,Forklift Opeartion,2023-08-20,2023-10-29,20,60,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24,지게차 과정
2023,24,지게차,Forklift Opeartion,2023-10-22,2023-12-10,20,48,현대중장비운전전문학원,031-953-4200,경기도 파주시 문산읍 임진나루길 253-24,
2023,1,한국어자격취득과정,The Language Course of Korean,2023-05-21,2023-08-27,25,60,한국산업인력공단 인천지역본부(인천외국인노동자지원센터),032-431-5757,인천 남동구 호구포로220 명진프라자,한국어자격취득과정(토픽3급)
2023,2,지게차운전,FORKLIFT OPERATION,2023-05-21,2023-06-25,24,48,한국항만연수원 인천연수원,032-885-8011,인천광역시 중구 서해대로 393,지게차운전
2023,3,헤어미용사 양성과정,HAIR BEAUTY,2023-06-04,2023-07-23,20,60,인하직업전문학교,032-888-1655,인천광역시 미추홀구 석정로 228,헤어미용
2023,4,자동차정비1차,CAR MAINTENANCE,2023-06-11,2023-07-30,23,48,쌍용직업전문학교,032-446-8607,인천광역시 미추홀구 석바위로53번길 8,자동차정비
2023,5,자동차정비2차,CAR MAINTENANCE,2023-06-11,2023-07-30,24,48,쌍용직업전문학교,032-446-8607,인천광역시 미추홀구 석바위로53번길 8,자동차정비
2023,6,기계절삭가공,MACHINERY CUTTING AND MANUFACTURING,2023-06-18,2023-07-23,24,48,진성직업전문학교,032-817-1355,인천광역시 남동구 문화로 133번길 14,기계절삭가공
2023,7,제과제빵,PASTRY AND BAKING,2023-07-09,2023-08-27,30,60,간석외식직업전문학교,032-438-0045,"인천광역시 남동구 남동대로 905 대양빌딩 3층,4층",제과제빵
2023,8,기계절삭가공,MACHINERY CUTTING AND MANUFACTURING,2023-08-13,2023-09-17,24,48,진성직업전문학교,032-817-1355,인천광역시 남동구 문화로 133번길 14,기계절삭가공
